Category,Manufacturer,"Manufacturer Part #",Title,Description,URL,Image,"Seller Part #",Condition,"Ship. Weight",Price,"Unit Pricing Measure","Unit Pricing Base Measure",UPC
,Hardwood,645-730,"Bruce Turlington Plank Oak: Threshold - Cherry 78"" Long","Bruce Turlington Plank Oak: Threshold - Cherry 78"" Long",http://23.251.155.152//bruce-turlington-plank-oak-threshold-cherry-78-long/accessories/moldings-and-transitions-for-hardwood-floors/catalog_1039.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/producthttp://www1.gowebpix.com/efloors/1039.jpg,1039,New,10.0000,25.9900,"1 ct","4.36 sq ft per box",
,Hardwood,645-730,"Bruce Turlington Plank Oak: Stair Nose - Cherry 78"" Long","Bruce Turlington Plank Oak: Stair Nose - Cherry 78"" Long",http://23.251.155.152//bruce-turlington-plank-oak-stair-nose-cherry-78-long/accessories/moldings-and-transitions-for-hardwood-floors/catalog_1041.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/producthttp://www1.gowebpix.com/efloors/1041.jpg,1041,New,10.0000,35.9900,"1 ct","4.36 sq ft per box",
,Hardwood,645-730,"LW Mountain Pre-Finished Hand-Scraped Oak: Stair Nose Golden Oak - 84"" Long","LW Mountain Pre-Finished Hand-Scraped Oak: Stair Nose Golden Oak - 84"" Long",http://23.251.155.152//lw-mountain-pre-finished-hand-scraped-oak-stair-nose-golden-oak-84-long/hardwood/catalog_10443.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodstairnose.jpg,10443,New,10.0000,45.9900,"1 ct","4.36 sq ft per box",
,Tile,645-730,"Marazzi San Savino: Bullnose Greve - 3"" x 12""","Marazzi San Savino: Bullnose Greve - 3"" x 12""",http://23.251.155.152/marazzi-san-savino-bullnose-greve-3-x-12/tile/catalog_10225.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/u/bullnose.jpg,10225,New,10.0000,3.4900,"1 ct","4.36 sq ft per box",
,"Luxury Vinyl",645-730,"USFloors Coretec Plus: Overlap Stair Nose Empire Slate Engineered Luxury Vinyl Tile with Cork Comfort - 94"" Long","USFloors Coretec Plus: Overlap Stair Nose Empire Slate Engineered Luxury Vinyl Tile with Cork Comfort - 94"" Long",http://23.251.155.152/usfloors-coretec-plus-overlap-stair-nose-empire-slate-engineered-luxury-vinyl-tile-with-cork-comfort-94-long/luxury-vinyl-tile/catalog_10236.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/8/9/8969_200x200.jpg,10236,New,10.0000,49.9900,"1 ct","4.36 sq ft per box",
,Grout,0693408L12,"Armstrong S-693 Premixed Grout Cornsilk 1 gallon bucket 0693408L12","Armstrong S-693 Premixed Grout Cornsilk 1 gallon bucket 0693408L12",http://23.251.155.152/armstrong-s-693-premixed-grout-cornsilk-1-gallon-bucket-0693408l12/armstrong-alterna/catalog_10937.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/producthttp://www1.gowebpix.com/efloors/10937.jpg,10937,New,12.0000,59.9900,"1 ct","4.36 sq ft per box",
,"Luxury Vinyl",645-730,"Mannington Adura LockSolid: Reducer Maple Plank Honeytone - 78"" Long","Mannington Adura LockSolid: Reducer Maple Plank Honeytone - 78"" Long",http://23.251.155.152//mannington-adura-locksolid-reducer-maple-plank-honeytone-78-long/luxury-vinyl-tile/catalog_10262.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/l/v/lvtrd.jpg,10262,New,10.0000,59.9900,"1 ct","4.36 sq ft per box",
,Tile,645-730,"Daltile Avondale: Bullnose Chateau Creme - 3"" x 12""","Daltile Avondale: Bullnose Chateau Creme - 3"" x 12""",http://23.251.155.152/daltile-avondale-bullnose-chateau-creme-3-x-12/tile/catalog_10291.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/u/bullnose.jpg,10291,New,10.0000,4.7900,"1 ct","4.36 sq ft per box",
,Tile,645-730,"Daltile Avondale: Bullnose West Tower - 3"" x 12""","Daltile Avondale: Bullnose West Tower - 3"" x 12""",http://23.251.155.152/daltile-avondale-bullnose-west-tower-3-x-12/tile/catalog_10293.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/u/bullnose.jpg,10293,New,10.0000,4.7900,"1 ct","4.36 sq ft per box",
,"Luxury Vinyl",SL871212DECO1P2,"Mannington Adura LockSolid Luxury Vinyl Plank Spalted Georgian Maple: Reducer Natural - 78"" Long","Mannington Adura LockSolid Luxury Vinyl Plank Spalted Georgian Maple: Reducer Natural - 78"" Long",http://23.251.155.152//mannington-adura-locksolid-luxury-vinyl-plank-spalted-georgian-maple-reducer-natural-78-long/luxury-vinyl-tile/catalog_107585.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/l/v/lvtrd.jpg,107585,New,,59.9900,"1 ct","4.36 sq ft per box",
,Laminate,0693408L12,"Quick-Step Modello Collection: Quarter Round Mink Oak - 94.5"" Long","Quick-Step Modello Collection: Quarter Round Mink Oak - 94.5"" Long",http://23.251.155.152//quick-step-modello-collection-quarter-round-mink-oak-94-5-long/laminate/catalog_107704.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productQSQR.jpg,107704,New,10.0000,6.9900,"1 ct","4.36 sq ft per box",
,"Luxury Vinyl",0693408L12,"USFloors Coretec Plus: T-mold Amalfi Beige Engineered Luxury Vinyl Tile with Cork Comfort - 78"" Long","USFloors Coretec Plus: T-mold Amalfi Beige Engineered Luxury Vinyl Tile with Cork Comfort - 78"" Long",http://23.251.155.152/usfloors-coretec-plus-t-mold-amalfi-beige-engineered-luxury-vinyl-tile-with-cork-comfort-78-long/luxury-vinyl-tile/catalog_107721.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodtmold.jpg,107721,New,10.0000,49.9900,"1 ct","4.36 sq ft per box",
,Laminate,871281,"Armstrong Rustics Premium: Quarter Round Reclaimed American Chestnut Sepia - 94"" Long","Armstrong Rustics Premium: Quarter Round Reclaimed American Chestnut Sepia - 94"" Long",http://23.251.155.152//armstrong-rustics-premium-quarter-round-reclaimed-american-chestnut-sepia-94-long/laminate/catalog_10627.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productArmQtrRnd.jpg,10627,New,10.0000,19.9900,"1 ct","4.36 sq ft per box",
,Laminate,SL871212DECO1P2,"Mannington Coordinations Collection: T-mold Zanzibar Paprika - 94"" Long","Mannington Coordinations Collection: T-mold Zanzibar Paprika - 94"" Long",http://23.251.155.152/mannington-coordinations-collection-t-mold-zanzibar-paprika-94-long/laminate/catalog_107577.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productLamTMolding.jpg,107577,New,,27.9900,"1 ct","4.36 sq ft per box",
,Hardwood,SL871212DECO1P2,"Armstrong Beckford Plank: T-mold Bark - 78"" Long","Armstrong Beckford Plank: T-mold Bark - 78"" Long",http://23.251.155.152/armstrong-beckford-plank-t-mold-bark-78-long/hardwood/catalog_107590.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodtmold.jpg,107590,New,,32.9900,"1 ct","4.36 sq ft per box",
,"Luxury Vinyl",0693408L12,"USFloors Coretec Plus: T-mold Gold Coast Acacia Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long","USFloors Coretec Plus: T-mold Gold Coast Acacia Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long",http://23.251.155.152/usfloors-coretec-plus-t-mold-gold-coast-acacia-engineered-luxury-vinyl-plank-with-cork-comfort-94-long/luxury-vinyl-tile/catalog_107718.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodtmold.jpg,107718,New,10.0000,49.9900,"1 ct","4.36 sq ft per box",
,"Luxury Vinyl",0693408L12,"USFloors Coretec Plus: Reducer Amalfi Beige Engineered Luxury Vinyl Tile with Cork Comfort - 78"" Long","USFloors Coretec Plus: Reducer Amalfi Beige Engineered Luxury Vinyl Tile with Cork Comfort - 78"" Long",http://23.251.155.152//usfloors-coretec-plus-reducer-amalfi-beige-engineered-luxury-vinyl-tile-with-cork-comfort-78-long/luxury-vinyl-tile/catalog_107722.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodreducer.jpg,107722,New,10.0000,49.9900,"1 ct","4.36 sq ft per box",
,Laminate,871281,"Mannington Coordinations Carolina Heart Pine Stair Nose - 94"" Long","Mannington Coordinations Carolina Heart Pine Stair Nose - 94"" Long",http://23.251.155.152/mannington-coordinations-carolina-heart-pine-stair-nose-94-long/accessories/moldings-and-transitions-for-laminate-floors/catalog_11014.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productLamStairnose.jpg,11014,New,10.0000,39.9900,"1 ct","4.36 sq ft per box",
,Laminate,SL871212DECO1P2,"Shaw Avenues: T-mold Limed Oak - 94"" Long","Shaw Avenues: T-mold Limed Oak - 94"" Long",http://23.251.155.152/shaw-avenues-t-mold-limed-oak-94-long/laminate/catalog_107578.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productLamTMolding.jpg,107578,New,,24.9900,"1 ct","4.36 sq ft per box",
,"Luxury Vinyl",0693408L12,"USFloors Coretec Plus: T-mold Kingswood Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long","USFloors Coretec Plus: T-mold Kingswood Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long",http://23.251.155.152/usfloors-coretec-plus-t-mold-kingswood-oak-engineered-luxury-vinyl-plank-with-cork-comfort-94-long/luxury-vinyl-tile/catalog_107687.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodtmold.jpg,107687,New,10.0000,42.9900,"1 ct","4.36 sq ft per box",
,"Luxury Vinyl",0693408L12,"USFloors Coretec Plus: T-mold Ankara Travertine Engineered Luxury Vinyl Tile with Cork Comfort - 94"" Long","USFloors Coretec Plus: T-mold Ankara Travertine Engineered Luxury Vinyl Tile with Cork Comfort - 94"" Long",http://23.251.155.152/usfloors-coretec-plus-t-mold-ankara-travertine-engineered-luxury-vinyl-tile-with-cork-comfort-94-long/luxury-vinyl-tile/catalog_107719.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodtmold.jpg,107719,New,10.0000,49.9900,"1 ct","4.36 sq ft per box",
,Adhesive,871281,"Chapco Safe-Set 299 Premium Vinyl Tile Adhesive - 1 Gallon Bucket","Chapco Safe-Set 299 Premium Vinyl Tile Adhesive - 1 Gallon Bucket",http://23.251.155.152/chapco-safe-set-299-premium-vinyl-tile-adhesive-1-gallon-bucket/luxury-vinyl-tile/catalog_10703.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/c/h/chap299.jpg,10703,New,12.0000,45.9900,"1 ct","4.36 sq ft per box",
,Laminate,871281,"Shaw Ancestry: T-mold Cask - 94"" Long","Shaw Ancestry: T-mold Cask - 94"" Long",http://23.251.155.152/shaw-ancestry-t-mold-cask-94-long/laminate/catalog_10911.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/l/a/lamitm.jpg,10911,New,,22.8900,"1 ct","4.36 sq ft per box",
,Laminate,SL871212DECO1P2,"Shaw Avenues: Stair Nose Limed Oak - 94"" Long","Shaw Avenues: Stair Nose Limed Oak - 94"" Long",http://23.251.155.152/shaw-avenues-stair-nose-limed-oak-94-long/laminate/catalog_107579.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productLamStairNose.jpg,107579,New,,39.9900,"1 ct","4.36 sq ft per box",
,"Luxury Vinyl",0693408L12,"USFloors Coretec Plus: Stair Nose Kingswood Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long","USFloors Coretec Plus: Stair Nose Kingswood Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long",http://23.251.155.152/usfloors-coretec-plus-stair-nose-kingswood-oak-engineered-luxury-vinyl-plank-with-cork-comfort-94-long/luxury-vinyl-tile/catalog_107693.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodstairnose.jpg,107693,New,10.0000,49.9900,"1 ct","4.36 sq ft per box",
,Laminate,SL871212DECO1P2,"Shaw Avenues: Quarter Round Limed Oak - 94"" Long","Shaw Avenues: Quarter Round Limed Oak - 94"" Long",http://23.251.155.152//shaw-avenues-quarter-round-limed-oak-94-long/laminate/catalog_107581.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productLamQuartRound.jpg,107581,New,,7.9900,"1 ct","4.36 sq ft per box",
,"Luxury Vinyl",0693408L12,"USFloors Coretec Plus: Reducer Kingswood Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long","USFloors Coretec Plus: Reducer Kingswood Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long",http://23.251.155.152//usfloors-coretec-plus-reducer-kingswood-oak-engineered-luxury-vinyl-plank-with-cork-comfort-94-long/luxury-vinyl-tile/catalog_107703.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodreducer.jpg,107703,New,10.0000,42.9900,"1 ct","4.36 sq ft per box",
,"Luxury Vinyl",0693408L12,"USFloors Coretec Plus: Reducer Ankara Travertine Engineered Luxury Vinyl Tile with Cork Comfort - 94"" Long","USFloors Coretec Plus: Reducer Ankara Travertine Engineered Luxury Vinyl Tile with Cork Comfort - 94"" Long",http://23.251.155.152//usfloors-coretec-plus-reducer-ankara-travertine-engineered-luxury-vinyl-tile-with-cork-comfort-94-long/luxury-vinyl-tile/catalog_107720.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodreducer.jpg,107720,New,10.0000,49.9900,"1 ct","4.36 sq ft per box",
,Laminate,871281,"Armstrong Rustics Premium: T-mold Reclaimed American Chestnut Sepia - 72"" Long","Armstrong Rustics Premium: T-mold Reclaimed American Chestnut Sepia - 72"" Long",http://23.251.155.152/armstrong-rustics-premium-t-mold-reclaimed-american-chestnut-sepia-72-long/laminate/catalog_10619.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productArmTMold.jpg,10619,New,10.0000,36.9900,"1 ct","4.36 sq ft per box",
,Laminate,SL871212DECO1P2,"Mannington Restoration Collection: Overlap Stair Nose Sawmill Hickory Leather - 94"" Long","Mannington Restoration Collection: Overlap Stair Nose Sawmill Hickory Leather - 94"" Long",http://23.251.155.152/mannington-restoration-collection-overlap-stair-nose-sawmill-hickory-leather-94-long/laminate/catalog_107576.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productLamStairnose.jpg,107576,New,,46.9900,"1 ct","4.36 sq ft per box",
,Laminate,SL871212DECO1P2,"Shaw Avenues: Reducer Limed Oak - 94"" Long","Shaw Avenues: Reducer Limed Oak - 94"" Long",http://23.251.155.152/shaw-avenues-reducer-limed-oak-94-long/laminate/catalog_107580.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productLamReducer.jpg,107580,New,,24.9900,"1 ct","4.36 sq ft per box",
